Stuff,Muscles,Complexity,Exercise ,Link
nothing,sh,1,Incline Push-Ups,https://www.youtube.com/watch?v=Me9bHFAxnCs
nothing,sh,2,Plank-to-Downward Dog,https://www.youtube.com/watch?v=u8eUdDxyAMg
nothing,sh,3,Pike Push Ups,https://www.youtube.com/watch?v=sposDXWEB0A
nothing,sh,4,Elevated Pike Push Ups,https://www.youtube.com/watch?v=Pzth0n3oWBQ
nothing,sh,5,Handstand Push Ups,https://www.youtube.com/watch?v=0wDEO6shVjc
db,sh,1,Overhead Walk,https://www.youtube.com/watch?v=Ip_UkwWqwYY
db,sh,2,Single-Arm Shoulder Press,https://www.youtube.com/watch?v=stXikBvAFPI
db,sh,3,Dumbbell High Pulls,https://www.youtube.com/watch?v=BJdROwz4qeQ
db,sh,4,Dumbbell Snatch,https://www.youtube.com/watch?v=Dc8XQpyly3g
db,sh,5,Turkish Get-Ups,https://www.youtube.com/watch?v=MlDLOiN42d4
kb,sh,1,Overhead Walk,https://www.youtube.com/watch?v=euj4FvcCags
kb,sh,2,Single-Arm Shoulder Press,https://www.youtube.com/watch?v=sucxYgqieWI
kb,sh,3,Kettlebell High Pulls,https://www.youtube.com/watch?v=WyXGycl1ZrQ
kb,sh,4,Kettlebell Snatch,https://www.youtube.com/watch?v=AUAqL8GJlcs
kb,sh,5,Turkish Get-Ups,https://www.youtube.com/watch?v=MlDLOiN42d4
bar,sh,1,Landmine Split Jerk,https://www.youtube.com/watch?v=5Rebfu_-T98
bar,sh,2,Overhead Press,https://www.youtube.com/watch?v=QAQ64hK4Xxs
bar,sh,3,Overhead Press,https://www.youtube.com/watch?v=QAQ64hK4Xxs
bar,sh,4,Push Press,https://www.youtube.com/watch?v=iaBVSJm78ko
bar,sh,5,Split Jerk ,https://www.youtube.com/watch?v=ElfYPyYWWBs
rb_long,sh,1,Band Pull Apart,https://www.youtube.com/watch?v=4s15-oQ-q_4
